ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
DNK,"Denmark",16,5810691.44944763,33.8343904537554,39.4502185194757,0.258603342201732,-0.763784387041323,0.375
MUS,"Mauritius",11,1287355.00091171,29.0217856124711,34.6764506307666,0.257907109217191,-0.461569488137587,0.363636363636364
WLF,"Wallis and Futuna",2,7947.1972808838,22.5099152305621,24.6216058923531,0.256958004742223,-0.78547132855091,0
CMR,"Cameroon",37,25909571.1412492,33.2730241592958,36.9869072253449,0.210319471629517,0.309406579405987,0.135135135135135
ASM,"American Samoa",3,55799.9327087402,22.0249834567568,24.0903408811991,0.203298024134299,-0.929631498019228,0
SWE,"Sweden",101,10038273.7346874,33.6008875163265,38.98903568072,0.184071043120581,-0.397150221256449,0.277227722772277
MDV,"Maldives",14,253096.330635011,29.4977930599749,34.9886716462931,0.127245902024869,0.368423229889681,0
SAU,"Saudi Arabia",182,35579457.7336001,39.9835384613316,46.0413427281614,0.1019587178141,-0.385952413869811,0
COM,"Comoros",4,848296.942199707,28.7272070021435,33.1819518651282,0.0931680621162145,-0.93151814680707,0
QAT,"Qatar",4,2844319.31027079,47.7485989765928,56.5574972118222,0.081790526368572,1.23406548391593,0
CIV,"Côte d'Ivoire",28,24171236.4165664,30.1471728943593,33.8731860473962,0.0638901693475021,0.170166377753288,0.214285714285714
PRY,"Paraguay",34,6975149.49372387,29.1768270195768,32.3107887483882,0.0285163843253175,0.138770751245529,0
NFK,"Norfolk Island",1,2432.400390625,26.6985471837657,29.7905523012205,0.02347381728514,-0.425831906096734,0
WSM,"Samoa",4,195979.18025589,21.7061492775629,23.600127648462,0.0166085127434679,-1.11754405309728,0
BRN,"Brunei Darussalam",2,580716.887557983,26.8949038122849,29.4908539065953,-0.0599491161168192,-0.27077493877762,0.5
ARE,"United Arab Emirates",10,9206795.03234863,45.34713834956,52.6399252630951,-0.0750969902862426,0.685986723583453,0
PRT,"Portugal",24,9778900.07477278,35.5906492531305,40.7028650441156,-0.0869709794091074,-0.588922879715548,0.5
SSD,"South Sudan",51,13367673.4435263,33.9012640556025,38.5167292642801,-0.126641235268544,0.107110577633958,0.294117647058824
MNP,"Northern Mariana Islands",8,55835.3319530487,27.0425939608791,31.8077863893034,-0.150075936002618,-0.488489131966185,0
BRA,"Brazil",757,213786135.788314,28.6784575833211,31.4629419128631,-0.152716880489108,-0.15968965880253,0.262879788639366
MYT,"Mayotte",1,266184.696533203,27.0769524253719,30.8222371467211,-0.183591874893158,-1.4442881599694,0
BOL,"Bolivia (Plurinational State of)",96,11765640.3327194,26.3902136356508,29.7688644550655,-0.187803335751392,-1.20415997366456,0
POL,"Poland",46,38838529.302021,33.2319164680089,42.6873955560649,-0.189902715367352,-0.616476348006561,0.152173913043478
